rva	name	conf	size	n_callers	n_orphan_sites	best_caller	all_callers	orphan_sites	verdict
0x004a45fb	_malloc	C2	18	37	1	0x004abc53(C3)	004a7800:C2;00498c00:C2;004a4739:C2;004a5fbf:C2;004a974d:C2;004a9a58:C2;004aa2c2:C2;004abc53:C3;004abe86:C2;004abf28:C3;004ac04a:C2;004ac367:C2;004af166:C2;004af80a:C2;004af601:C2;004b008f:C2;004b274e:C2;004b319b:C2;004b35d3:C2;004b3572:C2;004b3ac1:C2;005c192c:C2;004a504f:C2;005c4440:C2;004b2efe:C2;004b37ea:C2;004b391a:C2;004b1433:C2;004b16d9:C2;004b1918:C2;005207c0:C2;005208c0:C2;004a40fe:C2;005aeaf0:C2;004aec1d:C2;004ae635:C2;004ae820:C2	004ccef5	GATE_PASS
0x0049f210	FUN_0049f210	C2	19	1	0	0x004a06c0(C2)	004a06c0:C2	-	GATE_PASS
0x004a77eb	FUN_004a77eb	C2	21	25	0	0x004a3258(C3)	004a4660:C2;004a7800:C2;004a45c6:C2;004a4728:C2;004a3258:C3;004a31ea:C2;004a48a1:C2;004a5f6d:C2;004a5f9c:C2;004a93f9:C2;004aa00c:C2;004a9a58:C2;004aa03a:C2;004aa3db:C2;004af2ad:C2;004af56c:C2;004ae62c:C2;004af601:C2;004aefc7:C2;004b0e40:C2;004a973b:C2;004ad3e3:C2;004a89ef:C2;004a89fb:C2;004aed66:C2	-	GATE_PASS
0x00421690	FUN_00421690	C2	22	1	0	0x00424eb0(C2)	00424eb0:C2	-	GATE_PASS
0x00454f80	FUN_00454f80	C2	22	1	0	0x00407800(C2)	00407800:C2	-	GATE_PASS
0x0041e850	sub_0041e850	C2	22	1	0	0x0040dfc0(C3)	0040dfc0:C3	-	GATE_PASS
0x00491780	FUN_00491780	C2	23	1	0	0x00426e10(C2)	00426e10:C2	-	GATE_PASS
0x004a2c2f	FUN_004a2c2f	C2	23	1	0	0x004a31f3(C3)	004a31f3:C3	-	GATE_PASS
0x004039c0	FUN_004039c0	C2	23	1	0	0x0045bae0(C2)	0045bae0:C2	-	GATE_PASS
0x005ae380	FUN_005ae380	C2	24	1	0	0x005ae330(C2)	005ae330:C2	-	GATE_PASS
0x00403640	FUN_00403640	C2	24	1	0	0x00402750(C2)	00402750:C2	-	GATE_PASS
0x004cfe20	FUN_004cfe20	C2	25	1	0	0x004c7a70(C2)	004c7a70:C2	-	GATE_PASS
0x005a6c90	FUN_005a6c90	C2	25	2	0	0x005a6b70(C2)	005a6b70:C2;005a6cb0:C2	-	GATE_PASS
0x005ad8b0	FUN_005ad8b0	C2	25	2	0	0x005ad770(C2)	005ad770:C2;005ada40:C2	-	GATE_PASS
0x005571c0	FontSys_ShutdownFontPool	C2	25	1	0	0x00552b90(C2)	00552b90:C2	-	GATE_PASS
0x00421980	FUN_00421980	C2	26	3	0	0x00421c80(C2)	00421c80:C2;00421c10:C2;004219a0:C2	-	GATE_PASS
0x004aa3e4	___heap_select	C2	26	1	0	0x004aa3fe(C2)	004aa3fe:C2	-	GATE_PASS
0x00496ce0	FUN_00496ce0	C2	27	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x004c7600	FUN_004c7600	C2	28	5	5	0x004c6ba0(C2)	0054f8d0:C1;0054fd60:C1;004c6ba0:C2;004de1b0:C2;004df120:C2	004c7307;004c7452;004dd5fc;004ddbc7	GATE_PASS
