rva,symbol,conf,subsystem,file,klass,tests,n_miss,n_extra,ours_b,orig_b,ratio,miss,extra
0041f000,TimerSlotDataCopy,C3,util,TimerInit.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,48,37,1.30,0063d9e0,0063dc10
0041f000,SlotDataCopy,C3,util,TimerSlot.cpp,CANDIDATE,,1,6,66,37,1.78,0063d9e0,"0063dc10,0063dc14,0063dc18,0063dc1c,0063dc20,0063dc24"
0041f030,TriggerStructRead,C3,ai,PromoLoop_round21.cpp,CANDIDATE,,1,4,48,47,1.02,0063d9e0,"0063dc38,0063dc3c,0063dc40,0063dc44"
0041f090,GetPlayerStateBits,C3,util,EventTable.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,43,54,0.80,0063d9e0,0063dc74
0041f260,WorldMatrixCopy,C3,util,PromoLoop_round21.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,96,43,2.23,0063d9e0,0063dc4c
0041f330,Search41f330_RegAbi,C3,gameplay,PromoLoop_sessionB.cpp,CANDIDATE,,1,0,10,47,0.21,005f37a8,
00420d40,TimerStructArrayClear,C3,util,TimerInit.cpp,FOLDED-MEMBER,FOLDED-MEMBER|INDUCTION|WINDOW,1,1,56,55,1.02,0063e4c4,0063e4c0
00420d40,SlotArrayClear,C3,util,TimerSlot.cpp,FOLDED-MEMBER,FOLDED-MEMBER|INDUCTION|WINDOW,1,1,56,55,1.02,0063e4c4,0063e4c0
00420d80,IndexedFloatPairSum420d80,C3,gameplay,PromoLoop_sessionB.cpp,WINDOW,WINDOW,0,1,22,25,0.88,,0063e4bc
00420da0,TblRetPtrout63e4b8_0,C4,gameplay,PromoLoop_round59.cpp,WINDOW,WINDOW,0,1,32,30,1.07,,0063e4c0
00420dc0,TblRetPtrout63e4b8_4,C4,gameplay,PromoLoop_round59.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,1,2,32,31,1.03,0063e4b8,"0063e4bc,0063e4c4"
00422120,TimerSubarrayInit,C3,util,TimerSubarrayInit.cpp,CANDIDATE,,2,0,26,29,0.90,"0063fb90,006403b0",
00422ac0,SlotQuadSet,C3,render,LowRvaMixed_q3.cpp,UNROLLED,UNROLLED|WINDOW,0,3,48,42,1.14,,"006412ec,006412f0,006412f4"
00423480,AiFilenameBuild,C3,ai,ScenarioLeaves_sa2.cpp,WINDOW,WINDOW,0,1,202,179,1.13,,0064410f
00423ee0,PlayerBlock2Field00Get,C4,frontend,MenuLeaves_s3.cpp,UNROLLED,UNROLLED|INDUCTION|WINDOW,3,3,112,127,0.88,"007f1a28,007f1a38,007f1a48","007f1a1c,007f1a20,007f1a24"
00423f60,PlayerBlock2Field04Get,C4,frontend,MenuLeaves_s3.cpp,UNROLLED,UNROLLED|INDUCTION|WINDOW,3,3,127,140,0.91,"007f1a28,007f1a38,007f1a48","007f1a1c,007f1a20,007f1a24"
00423ff0,PlayerBlock2Field50Get,C4,frontend,MenuLeaves_s3.cpp,UNROLLED,UNROLLED|INDUCTION|WINDOW,3,3,112,127,0.88,"007f1a28,007f1a38,007f1a48","007f1a1c,007f1a20,007f1a24"
00424070,PlayerBlock2Field08Get,C4,frontend,MenuLeaves_s3.cpp,UNROLLED,UNROLLED|INDUCTION|WINDOW,3,3,127,140,0.91,"007f1a28,007f1a38,007f1a48","007f1a1c,007f1a20,007f1a24"
004248b0,PerCarSnapshotInit,C3,vehicle,SmallLeaves_q4.cpp,CANDIDATE,,15,0,125,112,1.12,"008994c0,00899560,00899564,00899568,008995b0,008995b4,008995b8,008995bc",
00425ee0,SlotWordPtrGet,C3,frontend,GlobalGetters_s4.cpp,CANDIDATE,,1,0,13,13,1.00,00899294,
00426cd0,TrackSlotArrayReset,C3,render,TrackLoaderMicros_p3.cpp,UNROLLED,UNROLLED|WINDOW,0,5,66,23,2.87,,"0066d6e8,0066d6ec,0066d6f0,0066d6f4,0066d6f8"
00426d00,FrontendArraySlotGet,C3,frontend,BatchAA_s6.cpp,CANDIDATE,,1,0,22,22,1.00,00663670,
00427840,FontText_UTF16WidenCopy,C4,hud,HudBatch.cpp,CANDIDATE,,1,0,48,54,0.89,007d3ff8,
00427ad0,MenuMenusBB,C3,frontend,MenuMenusB.cpp,CANDIDATE,,0,2,392,270,1.45,,"0066d828,0066d82a"
004282a0,MenuMenusBA,C3,frontend,MenuMenusB.cpp,CANDIDATE,,0,2,272,122,2.23,,"0066d828,0066d82a"
00429aa0,GameStateSlotsFill,C4,util,UtilMid.cpp,CANDIDATE,,2,0,105,135,0.78,"00614718,0061471c",
0042aa00,MenuCursorStep,C3,frontend,MenuGetters.cpp,CANDIDATE,,1,0,125,169,0.74,0067ed84,
0042ac90,MenuEntryGet,C3,frontend,MenuNav.cpp,CANDIDATE,,1,0,132,127,1.04,0067ed40,
0042add0,Find42add0_RegAbi,C3,frontend,PromoLoop_sessionB.cpp,WRAPPER,resolved-via:_Find42add0,0,0,11,64,-,,
0042ae10,MenuReadinessCheckA,C4,frontend,MenuStateMachine.cpp,INDUCTION,INDUCTION|WINDOW,2,2,160,157,1.02,"007f1762,007f1a54","007f1761,007f1a53"
0042aeb0,MenuReadinessCheckB,C3,frontend,MenuStateMachine.cpp,INDUCTION,INDUCTION|WINDOW,2,2,144,157,0.92,"007f1763,007f1a54","007f1762,007f1a53"
0042af50,MenuReadinessCheckC,C3,frontend,MenuStateMachine.cpp,INDUCTION,INDUCTION|WINDOW,2,2,160,157,1.02,"007f1761,007f1a54","007f1760,007f1a53"
0042af50,MenuReadinessCheck,C3,frontend,TimerReset.cpp,INDUCTION,INDUCTION|WINDOW,2,2,160,157,1.02,"007f1761,007f1a54","007f1760,007f1a53"
0042aff0,MenuButtonDetectA,C4,frontend,MenuNav.cpp,WINDOW,WINDOW,7,1,350,388,0.90,"007f1092,007f10de,007f112a,007f1176,007f11c2,007f120e,007f1766",007f1765
0042b180,MenuButtonDetectB,C4,frontend,MenuNav.cpp,WINDOW,WINDOW,7,1,350,388,0.90,"007f1093,007f10df,007f112b,007f1177,007f11c3,007f120f,007f1767",007f1766
0042b310,MenuButtonDetectC,C4,frontend,MenuButtonDetect.cpp,CANDIDATE,,1,0,590,548,1.08,0067ed40,
0042b540,MenuButtonDetectD,C3,frontend,MenuButtonDetect.cpp,CANDIDATE,,1,0,590,548,1.08,0067ed40,
0042b9e0,CarSlotAssign,C3,frontend,MenuButtonDetect.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,1,2,419,377,1.11,007f1a5c,"007f1a2c,007f1a5b"
0042bb60,MenuTeamBalance,C3,frontend,MenuNav.cpp,CANDIDATE,,1,0,394,323,1.22,007f1a58,
0042c150,Scan42c150,C3,util,PromoLoop_sessionB.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,2,1,100,78,1.28,"0067ea14,0067ea44",0067ea18
0042d3a0,RaceTransitionBufZero,C3,vehicle,SmallLeaves_o5.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,2,1,21,53,0.40,"0067ed7c,0067f0bc",0067ed78
0042d3e0,MenuEntryArrayInit,C3,frontend,MenuInit.cpp,FOLDED-MEMBER,FOLDED-MEMBER|INDUCTION|WINDOW,1,1,94,59,1.59,00898ac4,00898ac0
0042e5b0,MenuChromeShellB,C3,frontend,MenuSpriteDispatch.cpp,INLINED,INLINED,1,0,634,755,0.84,007f1010,
